weather_comment,count
穏やかな空,55104
お出かけ日和,44061
秋晴れ,33418
スッキリしない空,32362
日差しが届いても,30966
変わりやすい空,26388
天気下り坂,23666
日差し届く,18361
日差しが届く,17200
穏やかな晴天,17120
穏やかな秋空,16664
穏やかな天気,16099
紅葉狩り日和,16053
雲優勢の空,16034
強雨や雷に注意,15798
日差しの活用を,15635
お出かけＯＫ,15264
段々と雲増量,15061
にわか雨が心配,14632
晴れたり曇ったり,14511
傘がお守り,14029
青空が広がる,13960
ニワカ雨が心配,13768
雲が優勢の空,13449
ニワカ雨に注意,12544
晴れても,11531
秋空が広がる,10950
雲の多い空,10654
青空広がる,10568
行楽日和,10286
