weather_comment,count
スッキリしない空,35823
変わりやすい空,33511
厳しい暑さ,32679
強い日差し,26493
熱中症に注意,22611
熱中症に警戒,22194
強雨や雷雨に注意,18144
雨が降りやすく,17045
日差しジリジリ,16489
厳しい残暑,15953
雲が優勢の空,15385
急な雨に注意,14979
雨の降りやすい空,14732
雨が降ったり止んだり,14568
ニワカ雨が心配,14308
天気急変に注意,13713
傘が必須,13090
ニワカ雨に注意,12841
日差しが届いても,12232
にわか雨が心配,11630
晴れて厳しい暑さ,10999
強雨や雷に注意,10673
強烈な日差し,10479
急な雨が心配,10315
夏空が広がる,10305
にわか雨に注意,10114
危険な暑さ,9934
厳しい暑さ続く,9629
雲の多い空,9461
パッとしない空,9316
