weather_comment,count
変わりやすい空,22777
スッキリしない空,15755
日差しが届いても,14925
穏やかな空,14534
厳しい残暑,13083
強雨や雷雨に注意,9733
にわか雨が心配,9131
雨が降ったり止んだり,8367
傘がお守り,8189
晴れたり曇ったり,8009
日差し届く,7480
雲の多い空,7471
ニワカ雨に注意,7418
お出かけＯＫ,7376
傘が必須,7196
変わりやすい天気,7172
雨が降りやすい空,7130
にわか雨に注意,6842
急な雨に注意,6787
強い日差し,6738
日差しが届く,6721
ニワカ雨が心配,6664
傘の出番,6640
スッキリ青空,6422
パッとしない空,6403
熱中症に注意,5970
秋晴れ,5914
日が差しても,5775
日差しが届いて,5756
天気下り坂,5738
