weather_comment,count
スッキリしない空,35823
変わりやすい空,33511
厳しい暑さ,32679
強い日差し,26493
熱中症に注意,22611
熱中症に警戒,22194
強雨や雷雨に注意,18144
雨が降りやすく,17045
日差しジリジリ,16489
厳しい残暑,15953
雲が優勢の空,15385
急な雨に注意,14979
雨の降りやすい空,14732
雨が降ったり止んだり,14568
ニワカ雨が心配,14308
天気急変に注意,13713
傘が必須,13090
ニワカ雨に注意,12841
日差しが届いても,12232
にわか雨が心配,11630
晴れて厳しい暑さ,10999
強雨や雷に注意,10673
強烈な日差し,10479
急な雨が心配,10315
夏空が広がる,10305
にわか雨に注意,10114
危険な暑さ,9934
厳しい暑さ続く,9629
雲の多い空,9461
パッとしない空,9316
厳しい蒸し暑さ,6581
蒸し暑く,6314
不快な蒸し暑さ,6176
冷たい雨風で,28
強い雨風に注意,3330
台風接近,4300
太陽サンサン,9165
雲優勢の空,8772
天気下り坂,8586
晴れたり曇ったり,8528
傘の出番,8265
夏空広がる,7771
変わりやすい天気,7696
段々と太陽登場,7630
雲が主役の空,7560
朝は霧に注意,48
朝は霧の発生に注意,44
朝晩は霧に注意,21
穏やかな空,7019
紫外線にご注意を,148
