weather_comment,count
穏やかな空,60910
お出かけ日和,39230
天気下り坂,38228
スッキリしない空,35872
変わりやすい空,29197
日差しが届く,28383
青空広がる,28239
穏やかな天気,27235
日差し届く,23858
日差しの活用を,21645
雲が優勢の空,20702
段々と雲増量,18853
にわか雨が心配,18271
晴れたり曇ったり,18017
日差しが届いても,17303
雲優勢の空,16835
青空が広がる,16793
段々と天気回復,16419
雲の多い空,15168
穏やかな晴天,14935
お出かけＯＫ,14265
ポカポカ陽気,14219
晴れて気温上昇,13592
春本番の陽気,13437
日差したっぷり,13137
強雨や雷雨に注意,12623
太陽サンサン,11914
晴れて穏やか,11739
日差しタップリ,11306
傘が活躍,11179
