weather_comment,count
変わりやすい空,22777
スッキリしない空,15755
日差しが届いても,14925
穏やかな空,14534
厳しい残暑,13083
強雨や雷雨に注意,9733
にわか雨が心配,9131
雨が降ったり止んだり,8367
傘がお守り,8189
晴れたり曇ったり,8009
日差し届く,7480
雲の多い空,7471
ニワカ雨に注意,7418
お出かけＯＫ,7376
傘が必須,7196
変わりやすい天気,7172
雨が降りやすい空,7130
にわか雨に注意,6842
急な雨に注意,6787
強い日差し,6738
日差しが届く,6721
ニワカ雨が心配,6664
傘の出番,6640
スッキリ青空,6422
パッとしない空,6403
熱中症に注意,5970
秋晴れ,5914
日が差しても,5775
日差しが届いて,5756
天気下り坂,5738
朝は暴風雨に要注意,118
午前中は強風注意,69
朝は強風に注意,52
ムシムシ空気,4529
冷たい雨が強まる事も,2977
蒸し暑く,2244
朝は霧に注意,15
蒸し暑い,1803
朝は冷え込む,150
昼間でも肌寒い,129
朝は霧の可能性,56
暑さと紫外線対策を,28
朝霧発生の可能性も,15
お出かけ日和,5588
傘の用意を,5444
初冠雪の富士山もよく映える晴天,81
大気不安定,36
雲が多く,4733
雲が優勢の空,4729
天気急変に注意,3664
